"#iterations","runtime(s)","min_dt","max_dt","W_MHD3D","min_dW","max_dW","sum_dW","normF_X1","normF_X2","normF_LA","tau","normV_X1","normV_X2","normV_LA","X1_axis_0","X2_axis_0","X1_axis_1","X2_axis_1" 
  0.000000000000000E+00,  0.000000000000000E+00,  0.500000000000000E+00,  0.500000000000000E+00,  0.510893123000851E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.861896386608407E-02,  0.943924499478109E-02,  0.612322920015048E-05,  0.750000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.500000000000000E+01,  0.000000000000000E+00,  0.500000000000000E+01,  0.000000000000000E+00
  0.100000000000000E+01,  0.100000000000000E-01,  0.500000000000000E+00,  0.500000000000000E+00,  0.510869596647785E+01, -0.235263530659502E-03, -0.235263530659502E-03, -0.235263530659502E-03,  0.476658575853954E-02,  0.493538608965892E-02,  0.289581114184157E-02,  0.750000000000000E-01,  0.400882040282980E-02,  0.439034650920051E-02,  0.284801358146534E-05,  0.500019784323982E+01,  0.000000000000000E+00,  0.500019784323982E+01,  0.000000000000000E+00
  0.200000000000000E+01,  0.100000000000000E-01,  0.500000000000000E+00,  0.500000000000000E+00,  0.510860862550122E+01, -0.235263530659502E-03, -0.873409766315447E-04, -0.322604507291047E-03,  0.126100207316298E-02,  0.139159245642168E-02,  0.553712627583760E-02,  0.750000000000000E-01,  0.565789739420189E-02,  0.607297067955791E-02,  0.134686924843446E-02,  0.500052969583799E+01,  0.000000000000000E+00,  0.500052969583799E+01,  0.000000000000000E+00
  0.400000000000000E+01,  0.100000000000000E-01,  0.450000000000000E+00,  0.450000000000000E+00,  0.510859976132950E+01, -0.580213299805621E-05, -0.306203871591748E-05, -0.886417171397369E-05,  0.439941756345248E-03,  0.450328785073940E-03,  0.125499754904978E-02,  0.750000000000000E-01,  0.751193408754614E-03,  0.876056844699748E-03,  0.343491437238503E-02,  0.500070466078260E+01,  0.000000000000000E+00,  0.500070466078260E+01,  0.000000000000000E+00
  0.800000000000000E+01,  0.200000000000000E-01,  0.405000000000000E+00,  0.405000000000000E+00,  0.510859483028893E+01, -0.167323711508516E-05, -0.800027824432448E-06, -0.493104057319727E-05,  0.743718173141457E-03,  0.204090384851474E-03,  0.269664245394201E-02,  0.750000000000000E-01,  0.673889987446654E-03,  0.376145913734906E-03,  0.224181630743903E-02,  0.500094434388118E+01,  0.000000000000000E+00,  0.500094434388118E+01,  0.000000000000000E+00
  0.160000000000000E+02,  0.300000000000000E-01,  0.405000000000000E+00,  0.405000000000000E+00,  0.510857526207669E+01, -0.266252291325486E-05, -0.800027824432448E-06, -0.244992528166676E-04,  0.560108021022383E-03,  0.225666807768803E-03,  0.187609031113862E-02,  0.666438832681576E-01,  0.124120515885715E-02,  0.580756903580537E-03,  0.396257785098272E-02,  0.500241232293662E+01,  0.000000000000000E+00,  0.500241232293662E+01,  0.000000000000000E+00
  0.320000000000000E+02,  0.600000000000000E-01,  0.405000000000000E+00,  0.405000000000000E+00,  0.510854069946715E+01, -0.266252291325486E-05, -0.800027824432448E-06, -0.590618623581562E-04,  0.302680773968622E-03,  0.147614318110855E-03,  0.751253980178902E-03,  0.530164232259459E-01,  0.127694125736773E-02,  0.608730202310371E-03,  0.357458973157820E-02,  0.500607458702165E+01,  0.000000000000000E+00,  0.500607458702165E+01,  0.000000000000000E+00
  0.640000000000000E+02,  0.130000000000000E+00,  0.405000000000000E+00,  0.405000000000000E+00,  0.510851913289392E+01, -0.266252291325486E-05, -0.225116898455724E-06, -0.806284355814313E-04,  0.780483072348446E-04,  0.528112244663888E-04,  0.224801068522454E-03,  0.352113296725174E-01,  0.710040935106020E-03,  0.397665072748518E-03,  0.139927619554822E-02,  0.501141740421858E+01,  0.000000000000000E+00,  0.501141740421858E+01,  0.000000000000000E+00
  0.128000000000000E+03,  0.230000000000000E+00,  0.405000000000000E+00,  0.405000000000000E+00,  0.510851513893331E+01, -0.266252291325486E-05, -0.163993298940568E-07, -0.846223961952219E-04,  0.155517874416906E-04,  0.949922902720764E-05,  0.748774630699340E-04,  0.992084065254525E-02,  0.286195615067525E-03,  0.172929786597558E-03,  0.834309585443947E-03,  0.501518185549899E+01,  0.000000000000000E+00,  0.501518185549899E+01,  0.000000000000000E+00
  0.256000000000000E+03,  0.480000000000000E+00,  0.405000000000000E+00,  0.405000000000000E+00,  0.510851479328627E+01, -0.266252291325486E-05, -0.330383720381633E-09, -0.849680432324362E-04,  0.241983351630965E-05,  0.170525390378216E-05,  0.128621165904304E-04,  0.379400875908924E-01,  0.249798377881826E-04,  0.196145672640855E-04,  0.169873893025383E-03,  0.501789886348245E+01,  0.000000000000000E+00,  0.501789886348245E+01,  0.000000000000000E+00
